Title,Author,Author Birth Year,Languuage,LCC (General),LCC (Full)
"Andromeda, and Other Poems","Kingsley, Charles",1819,en,P,PR
"Aunt Mary's Primer
Adorned with a Hundred and Twenty Pretty Pictures",Anonymous,UNKNOWN YEAR,en,P,PE
"Graf von Loeben and the Legend of Lorelei
From ""Modern Philology"" vol. 13 (1915)","Porterfield, Allen Wilson",1877,en,P,PT
"Reform Cookery Book (4th edition)
Up-To-Date Health Cookery for the Twentieth Century.","Mill, Mrs. (Jean Oliver)",UNKNOWN YEAR,en,T,TX
"The Spirit of the Age; Or, Contemporary Portraits","Hazlitt, William",1778,en,P,PR
"Squinty the Comical Pig
His Many Adventures","Barnum, Richard",UNKNOWN YEAR,en,P,PZ
The Taming of the Shrew,"Shakespeare, William",1564,en,P,PR
La Fontana de Oro,"Pérez Galdós, Benito",1843,es,P,PQ
Naufragios de Alvar Núñez Cabeza de Vaca,"Núñez Cabeza de Vaca, Alvar, active 16th cent.",UNKNOWN YEAR,es,E,E011
Jumalainen näytelmä: Kiirastuli,Dante Alighieri,1265,fi,P,PQ
The Illustrated Alphabet of Birds,Unknown,UNKNOWN YEAR,en,P,PZ
The Damned,"Blackwood, Algernon",1869,en,P,PR
Der Mann im Nebel,"Falke, Gustav",1853,de,P,PT
"Punch, or the London Charivari, Volume 153, October 24, 1917",Various,UNKNOWN YEAR,en,A,AP
"Ebooks: Neither E, Nor Books
Paper for the O'Reilly Emerging Technologies Conference, 2004","Doctorow, Cory",1971,en,Z,Z
What Dress Makes of Us,"Quigley, Dorothy",UNKNOWN YEAR,en,T,TT
Essays in Rebellion,"Nevinson, Henry Woodd",1856,en,P,PR
The Two Gentlemen of Verona,"Shakespeare, William",1564,en,P,PR
"The Orations of Marcus Tullius Cicero, Volume 4","Cicero, Marcus Tullius",-106,en,P,PA
Extracto de la gramatica mutsun,"Arroyo de la Cuesta, Felipe",UNKNOWN YEAR,es,P,PM
"Old Saint Paul's
A Tale of the Plague and the Fire","Ainsworth, William Harrison",1805,en,P,PR
"The Parables of the Saviour
The Good Child's Library, Tenth Book",Anonymous,UNKNOWN YEAR,en,B,BT
"Sonny, a Christmas Guest","Stuart, Ruth McEnery",1856,en,P,PS
"M. or N. ""Similia similibus curantur.""","Whyte-Melville, G. J. (George John)",1821,en,P,PR
A Surgeon in Belgium,"Souttar, Henry Sessions",1875,en,D,D501
"The Atlantic Monthly, Volume 06, No. 35, September, 1860
A Magazine Of Literature, Art, And Politics",Various,UNKNOWN YEAR,en,A,AP
English Men of Letters: Crabbe,"Ainger, Alfred",1837,en,P,PR
"The Education of the Negro Prior to 1861
A History of the Education of the Colored People of the United States from the Beginning of Slavery to the Civil War","Woodson, Carter Godwin",1875,en,L,LC
Love's Labour's Lost,"Shakespeare, William",1564,en,P,PR
Industrial Progress and Human Economics,"Hartness, James",1861,en,H,HF
Poems,"Stoddard, John L. (John Lawson)",1850,en,P,PS
The History of Tom Thumb and Other Stories.,Anonymous,UNKNOWN YEAR,en,P,PZ
Trailin'!,"Brand, Max",1892,en,P,PS
"Punch, or the London Charivari, Volume 156, March 12, 1919",Various,UNKNOWN YEAR,en,A,AP
Fun and Nonsense,"Bonte, Willard",1873,en,P,PZ
"Tales of Ind, and Other Poems","Ramakrishna Pillai, T. (Thottakadu)",1854,en,P,PR
Young Robin Hood,"Fenn, George Manville",1831,en,P,PZ
Happy and Gay Marching Away,Unknown,UNKNOWN YEAR,en,P,PZ
"More Seeds of Knowledge; Or, Another Peep at Charles","Corner, Miss (Julia)",1798,en,P,PZ
Freckles,"Stratton-Porter, Gene",1863,en,P,PZ
King John,"Shakespeare, William",1564,en,P,PR
"History of Modern Philosophy
From Nicolas of Cusa to the Present Time","Falckenberg, Richard",1851,en,B,B
Coleridge's Ancient Mariner and Select Poems,"Coleridge, Samuel Taylor",1772,en,P,PR
"History of Negro Soldiers in the Spanish-American War, and Other Items of Interest","Johnson, Edward A. (Edward Austin)",1860,en,E,E660
"The Atlantic Monthly, Volume 06, No. 37, November, 1860
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
In Morocco,"Wharton, Edith",1862,en,D,DT
"Jack Mason, the Old Sailor","Woodworth, Francis C. (Francis Channing)",1812,en,P,PZ
The Girl at Cobhurst,"Stockton, Frank Richard",1834,en,P,PS
"Theobald, the Iron-Hearted
Or, Love to Enemies","Malan, César",1787,en,P,PZ
Aus dem Durchschnitt,"Falke, Gustav",1853,de,P,PT
"Punch, or the London Charivari, Volume 156, February 12, 1919",Various,UNKNOWN YEAR,en,A,AP
King Richard the Second,"Shakespeare, William",1564,en,P,PR
"A Countess from Canada
A Story of Life in the Backwoods","Marchant, Bessie",1862,en,P,PR
"Only an Irish Boy; Or, Andy Burke's Fortunes","Alger, Horatio",1832,en,P,PZ
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 351, January 10, 1829",Various,UNKNOWN YEAR,en,A,AP
Principal Cairns,"Cairns, John",1857,en,B,BX
"Debate on Woman Suffrage in the Senate of the United States,
2d Session, 49th Congress, December 8, 1886, and January 25, 1887",Various,UNKNOWN YEAR,en,J,JK
"Frank Merriwell at Yale; Or, Freshman Against Freshman","Standish, Burt L.",1866,en,P,PZ
The Wonderful Bed,"Knevels, Gertrude",1881,en,P,PZ
"The Atlantic Monthly, Volume 07, No. 40, February, 1861
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"The Atlantic Monthly, Volume 07, No. 39, January, 1861
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
Personal Memoirs of a Residence of Thirty Years with the Indian Tribes on the American Frontiers,"Schoolcraft, Henry Rowe",1793,en,E,E011
The Tragedy of Romeo and Juliet,"Shakespeare, William",1564,en,P,PR
"Hurrah for New England!
Or, The Virginia Boy's Vacation","Tuthill, Cornelia L. (Cornelia Louisa)",1820,en,P,PZ
"The Bracelets
Or, Amiability and Industry Rewarded","Edgeworth, Maria",1767,en,P,PZ
"Choice Specimens of American Literature, and Literary Reader
Being Selections from the Chief American Writers","Martin, Benj. N. (Benjamin Nicholas)",1816,en,P,PS
"The German Classics of the Nineteenth and Twentieth Centuries, Volume 01
Masterpieces of German Literature Translated into English.",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PT
Northumberland Yesterday and To-day,"Terry, Jean F. (Jean Finlay)",1865,en,D,DA
"A Compilation of the Messages and Papers of the Presidents
Volume 5, part 3: Franklin Pierce",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
Ten Girls from Dickens,"Sweetser, Kate Dickinson",UNKNOWN YEAR,en,P,PR
The Case of Jennie Brice,"Rinehart, Mary Roberts",1876,en,P,PS
The Red Thumb Mark,"Freeman, R. Austin (Richard Austin)",1862,en,P,PR
No and Other Stories Compiled by Uncle Humphrey,Various,UNKNOWN YEAR,en,P,PZ
A Midsummer Night's Dream,"Shakespeare, William",1564,en,P,PR
Greek in a Nutshell,"Strong, James",1822,en,P,PA
Pierre et Jean,"Maupassant, Guy de",1850,fr,P,PQ
"Robert Ier et Raoul de Bourgogne, rois de France (923-936)","Lauer, Philippe",1874,fr,D,DC
"Punch, or the London Charivari, Volume 156, Jan. 8, 1919",Various,UNKNOWN YEAR,en,A,AP
"The Atlantic Monthly, Volume 07, No. 41, March, 1861
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"Monarch, the Big Bear of Tallac","Seton, Ernest Thompson",1860,en,Q,QL
A Discourse Upon the Origin and the Foundation of the Inequality Among Mankind,"Rousseau, Jean-Jacques",1712,en,J,JC
"Twenty-Two Years a Slave, and Forty Years a Freeman
Embracing a Correspondence of Several Years, While President of Wilberforce Colony, London, Canada West","Steward, Austin",1794,en,E,E300
Comic History of England,"Nye, Bill",1850,en,D,DA
Haabløse Slægter,"Bang, Herman",1857,da,P,PT
The Merchant of Venice,"Shakespeare, William",1564,en,P,PR
"Rollo at Play; Or, Safe Amusements","Abbott, Jacob",1803,en,P,PZ
A Summer in Leslie Goldthwaite's Life.,"Whitney, A. D. T. (Adeline Dutton Train)",1824,en,P,PZ
Unitarianism,"Tarrant, W. G. (William George)",1853,en,B,BX
Mary Marie,"Porter, Eleanor H. (Eleanor Hodgman)",1868,en,P,PS
Somewhere in France,"Davis, Richard Harding",1864,en,P,PS
"The Discovery of Yellowstone Park
Journal of the Washburn Expedition to the Yellowstone and Firehole Rivers in the Year 1870","Langford, Nathaniel Pitt",1832,en,F,F721
The Expedition of the Donner Party and its Tragic Fate,"Houghton, Eliza Poor Donner",UNKNOWN YEAR,en,F,F850.5
"Phebe, the Blackberry Girl",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PZ
"Aunt Harding's Keepsakes
Or, The Two Bibles",Anonymous,UNKNOWN YEAR,en,P,PZ
"Little Folded Hands
Prayers for Children",Anonymous,UNKNOWN YEAR,en,B,BV
The First Part of King Henry the Fourth,"Shakespeare, William",1564,en,P,PR
"Gems Gathered in Haste
A New Year's Gift for Sunday Schools",Anonymous,UNKNOWN YEAR,en,P,PZ
The Lost Trail,"Ellis, Edward Sylvester",1840,en,P,PS
Nummisuutarit,"Kivi, Aleksis",1834,fi,P,PH
No Hero,"Hornung, E. W. (Ernest William)",1866,en,P,PR
"The Atlantic Monthly, Volume 08, No. 45, July, 1861
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"The Atlantic Monthly, Volume 07, No. 42, April, 1861
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
Buddy and Brighteyes Pigg: Bed Time Stories,"Garis, Howard Roger",1873,en,P,PZ
"The Atlantic Monthly, Volume 08, No. 46, August, 1861
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"The Atlantic Monthly, Volume 10, No. 61, November, 1862
Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"The Atlantic Monthly, Volume 10, No. 62, December, 1862
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
The Merry Wives of Windsor,"Shakespeare, William",1564,en,P,PR
"A Cotswold Village; Or, Country Life and Pursuits in Gloucestershire","Gibbs, J. Arthur (Joseph Arthur)",1867,en,D,DA
Mary Wollaston,"Webster, Henry Kitchell",1875,en,P,PS
The Story of Little Black Mingo,"Bannerman, Helen",1862,en,P,PZ
Potterism: A Tragi-Farcical Tract,"Macaulay, Rose",1881,en,P,PR
Rough and Tumble Engineering,"Maggard, James H.",UNKNOWN YEAR,en,T,TJ
"Wild Wings
A Romance of Youth","Chalmers, Margaret Piper",1880,en,P,PS
"For Gold or Soul?
The Story of a Great Department Store","Sheldon, Lurana",UNKNOWN YEAR,en,P,PS
"Deccan Nursery Tales
or, Fairy Tales from the South","Kincaid, C. A. (Charles Augustus)",1870,en,P,PZ
Life of St. Declan of Ardmore and Life of St. Mochuda of Lismore,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PB
"Punch, or the London Charivari, Volume 153, August 15, 1917",Various,UNKNOWN YEAR,en,A,AP
Second Part of King Henry IV,"Shakespeare, William",1564,en,P,PR
"The Atlantic Monthly, Volume 07, No. 43, May, 1861
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"Uncle Tom's Cabin, Young Folks' Edition","Stowe, Harriet Beecher",1811,en,P,PZ
Abraham Lincoln: A Play,"Drinkwater, John",1882,en,P,PR
"The Atlantic Monthly, Volume 05, No. 27, January, 1860
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"Four Great Americans: Washington, Franklin, Webster, Lincoln
A Book for Young Americans","Baldwin, James",1841,en,E,E151
L'inutile beauté,"Maupassant, Guy de",1850,fr,P,PQ
Mémoires du sergent Bourgogne,"Bourgogne, Adrien-Jean-Baptiste-François",1785,fr,D,DC
"Punchinello, Volume 1, No. 01, April 2, 1870",Various,UNKNOWN YEAR,en,A,AP
La sagesse et la destinée,"Maeterlinck, Maurice",1862,fr,P,PQ
"Seeing Europe with Famous Authors, Volume 6
Germany, Austria-Hungary and Switzerland, part 2",UNKNOWN AUTHOR,UNKNOWN YEAR,en,D,DD
Much Ado about Nothing,"Shakespeare, William",1564,en,P,PR
The World's Greatest Books — Volume 06 — Fiction,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PN
"Captains All
Captains All, Part 1.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Boatswain's Mate
Captains All, Book 2.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Nest Egg
Captains All, Book 3.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Constable's Move
Captains All, Book 4.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Bob's Redemption
Captains All, Book 5.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Over the Side
Captains All, Book 6.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Four Pigeons
Captains All, Book 7.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Temptation of Samuel Burge
Captains All, Book 8.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Madness of Mr. Lister
Captains All, Book 9.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
The Life of King Henry the Fifth,"Shakespeare, William",1564,en,P,PR
"The White Cat
Captains All, Book 10.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
Captains All and Others,"Jacobs, W. W. (William Wymark)",1863,en,P,PR
The Americanism of Washington,"Van Dyke, Henry",1852,en,E,E300
Elegies and Other Small Poems,"Betham, Matilda",1776,en,P,PR
Vignettes in Verse,"Betham, Matilda",1776,en,P,PR
Alcatraz,"Brand, Max",1892,en,P,PS
"The Atlantic Monthly, Volume 04, No. 21, July, 1859
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
Bambi,"Cooke, Marjorie Benton",1876,en,P,PS
Christianity and Islam,"Becker, Carl Heinrich",1876,en,B,BP
Claire de Lune,"Maupassant, Guy de",1850,fr,P,PQ
Violists,"McGowan, Richard",1958,en,P,PS
The Tragedy of Julius Caesar,"Shakespeare, William",1564,en,P,PR
"The World War and What was Behind It; Or, The Story of the Map of Europe","Bénézet, Louis Paul",1878,en,D,D
"Punch, or the London Charivari, Volume 156, March 5, 1919",Various,UNKNOWN YEAR,en,A,AP
"A Compilation of the Messages and Papers of the Presidents
Volume 3, part 1: Andrew Jackson (Second Term)",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
"Narrative of a Survey of the Intertropical and Western Coasts of Australia
Performed between the years 1818 and 1822 — Volume 1","King, Philip Parker",1791,en,D,DU
Diseases of the Horse's Foot,"Reeks, H. Caulton (Harry Caulton)",UNKNOWN YEAR,en,S,SF
20.000 Mijlen onder Zee: Oostelijk Halfrond,"Verne, Jules",1828,nl,P,PQ
Compendio di Chimica Fisiologica,"Cominelli, A.",UNKNOWN YEAR,it,Q,QP
Redevoeringen,"Conscience, Hendrik",1812,nl,P,PT
"De legende en de heldhaftige, vroolijke en roemrijke daden van Uilenspiegel en Lamme Goedzak in Vlaanderenland en elders","Coster, Charles de",1827,nl,P,PQ
Wat eene moeder lijden kan,"Conscience, Hendrik",1812,nl,P,PT
As You Like It,"Shakespeare, William",1564,en,P,PR
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 338, November 1, 1828",Various,UNKNOWN YEAR,en,A,AP
A Minstrel in France,"Lauder, Harry, Sir",1870,en,D,D501
Modern India,"Curtis, William Eleroy",1850,en,D,DS
"Brotherly Love
Shewing That as Merely Human It May Not Always Be Depended Upon","Sherwood, Mrs. (Mary Martha)",1775,en,P,PZ
The Garies and Their Friends,"Webb, Frank J.",1828,en,P,PS
Poems (1828),"Gent, Thomas",1780,en,P,PR
The Happy Venture,"Price, Edith Ballinger",1897,en,P,PZ
The Visioning: A Novel,"Glaspell, Susan",1876,en,P,PS
"Highroads of Geography
Introductory Book: Round the World with Father",Anonymous,UNKNOWN YEAR,en,G,G
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 384, August 8, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Tragedy of Hamlet, Prince of Denmark","Shakespeare, William",1564,en,P,PR
"Project Gutenberg ""Best Of"" CD August 2003",UNKNOWN AUTHOR,UNKNOWN YEAR,en,UNKNOWN LCC,UNKNOWN LCC
The Bent Twig,"Fisher, Dorothy Canfield",1879,en,P,PS
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 395, October 24, 1829",Various,UNKNOWN YEAR,en,A,AP
Big Timber: A Story of the Northwest,"Sinclair, Bertrand W.",1881,en,P,PS
Utilitarianism,"Mill, John Stuart",1806,en,B,B
"Punch, or the London Charivari, Volume 156, January 22, 1919",Various,UNKNOWN YEAR,en,A,AP
Building a State in Apache Land,"Poston, Charles D. (Charles Debrille)",1825,en,F,F786
Ten Boys from Dickens,"Sweetser, Kate Dickinson",UNKNOWN YEAR,en,P,PR
The Marrow of Tradition,"Chesnutt, Charles W. (Charles Waddell)",1858,en,P,PS
The Purple Cloud,"Shiel, M. P. (Matthew Phipps)",1865,en,P,PR
"Twelfth Night; Or, What You Will","Shakespeare, William",1564,en,P,PR
Macmillan's Reading Books. Book V,Anonymous,UNKNOWN YEAR,en,P,PE
"Bartleby, the Scrivener: A Story of Wall-Street","Melville, Herman",1819,en,P,PS
Bullets & Billets,"Bairnsfather, Bruce",1887,en,D,D501
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 379, July 4, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 397, November 7, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 399, Supplementary Number",Various,UNKNOWN YEAR,en,A,AP
Old Ballads,Various,UNKNOWN YEAR,en,P,PR
"The Pearl Box
Containing One Hundred Beautiful Stories for Young People",Anonymous,UNKNOWN YEAR,en,P,PZ
The Fight for Conservation,"Pinchot, Gifford",1865,en,S,S
"The Life and Adventures of Robinson Crusoe of York, Mariner, Volume 1
With an Account of His Travels Round Three Parts of the Globe,
Written By Himself, in Two Volumes","Defoe, Daniel",UNKNOWN YEAR,en,P,PR
The History of Troilus and Cressida,"Shakespeare, William",1564,en,P,PR
The Apartment Next Door,"Johnston, William, 1871-1929",1871,en,P,PS
Wee Ones' Bible Stories,Anonymous,UNKNOWN YEAR,en,B,BS
The Life of Michelangelo Buonarroti,"Symonds, John Addington",1840,en,N,N
"Miles Wallingford
Sequel to ""Afloat and Ashore""","Cooper, James Fenimore",1789,en,P,PS
A Project for Flying: In Earnest at Last!,"Hardley, Robert",UNKNOWN YEAR,en,T,TL
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 393, October 10, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 394, October 17, 1829",Various,UNKNOWN YEAR,en,A,AP
The Exploits of Brigadier Gerard,"Doyle, Arthur Conan",1859,en,P,PR
"The Delights of Wisdom Pertaining to Conjugial Love
To Which is Added The Pleasures of Insanity Pertaining To Scortatory Love","Swedenborg, Emanuel",1688,en,B,BX
"Four Famous American Writers: Washington Irving, Edgar Allan Poe, James Russell Lowell, Bayard Taylor
A Book for Young Americans","Cody, Sherwin",1868,en,P,PS
All's Well That Ends Well,"Shakespeare, William",1564,en,P,PR
"Journeys Through Bookland, Vol. 5","Sylvester, Charles Herbert",UNKNOWN YEAR,en,P,PN
"Famous Reviews, Selected and Edited with Introductory Notes by R. Brimley Johnson",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
"Martin Hewitt, Investigator","Morrison, Arthur",1863,en,P,PR
"The Life of Col. James Gardiner
Who Was Slain at the Battle of Prestonpans, September 21, 1745","Doddridge, Philip",1702,en,D,DA
"Poetical Works of Johnson, Parnell, Gray, and Smollett
With Memoirs, Critical Dissertations, and Explanatory Notes","Johnson, Samuel",1709,en,P,PR
"Slave Narratives: a Folk History of Slavery in the United States
From Interviews with Former Slaves
Arkansas Narratives, Part 1",United States. Work Projects Administration,UNKNOWN YEAR,en,E,E300
Social life at Rome in the Age of Cicero,"Fowler, W. Warde (William Warde)",1847,en,D,DG
Little Folks Astray,"May, Sophie",1833,en,P,PZ
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 407, December 24, 1829",Various,UNKNOWN YEAR,en,A,AP
Polly and the Princess,"Dowd, Emma C.",UNKNOWN YEAR,en,P,PS
Measure for Measure,"Shakespeare, William",1564,en,P,PR
The Kiltartan History Book,"Gregory, Lady",1852,en,P,PR
Cyclopedia of Philosophy,"Vaknin, Samuel",1961,en,B,BD
Cyclopedia of Economics,"Vaknin, Samuel",1961,en,H,HB
"The Adventures of a Special Correspondent Among the Various Races and Countries of Central Asia
Being the Exploits and Experiences of Claudius Bombarnac of ""The Twentieth Century""","Verne, Jules",1828,en,P,PQ
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 327, August 16, 1828",Various,UNKNOWN YEAR,en,A,AP
"Notes and Queries, Number 02, November 10, 1849",Various,UNKNOWN YEAR,en,A,AG
Sonnets by the Nawab Nizamat Jung Bahadur,"Jung, Nizamat, Sir",1871,en,P,PR
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 328, August 23, 1828",Various,UNKNOWN YEAR,en,A,AP
The Flood,Anonymous,UNKNOWN YEAR,en,B,BS
Virgie's Inheritance,"Sheldon, Georgie, Mrs.",1843,en,P,PS
"The Tragedy of Othello, Moor of Venice","Shakespeare, William",1564,en,P,PR
"A Practical Illustration of ""Woman's Right to Labor""
A Letter from Marie E. Zakrzewska, M.D. Late of Berlin, Prussia","Zakrzewska, Marie E. (Marie Elizabeth)",1829,en,H,HD
"The Anti-Slavery Examiner, Part 1 of 4",American Anti-Slavery Society,UNKNOWN YEAR,en,E,E300
"The Anti-Slavery Examiner, Part 2 of 4",American Anti-Slavery Society,UNKNOWN YEAR,en,E,E300
"The Anti-Slavery Examiner, Part 3 of 4",American Anti-Slavery Society,UNKNOWN YEAR,en,E,E300
"The Anti-Slavery Examiner, Part 4 of 4",American Anti-Slavery Society,UNKNOWN YEAR,en,E,E300
"The Anti-Slavery Examiner, Omnibus",American Anti-Slavery Society,UNKNOWN YEAR,en,E,E300
Civil Government in the United States Considered with Some Reference to Its Origins,"Fiske, John",1842,en,J,JK
Egyptian Ideas of the Future Life,"Budge, E. A. Wallis (Ernest Alfred Wallis), Sir",1857,en,B,BL
"Folk-Tales of Napoleon
Napoleonder from the Russian; The Napoleon of the People from the French of Honoré De Balzac","Balzac, Honoré de",1799,en,D,DC
The Slim Princess,"Ade, George",1866,en,P,PS
The Tragedy of King Lear,"Shakespeare, William",1564,en,P,PR
Maggie Miller: The Story of Old Hagar's Secret,"Holmes, Mary Jane",1825,en,P,PS
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 334, October 4, 1828",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 336, October 18, 1828",Various,UNKNOWN YEAR,en,A,AP
Plays of Gods and Men,"Dunsany, Lord",1878,en,P,PR
"Punch, or the London Charivari, Volume 156, March 26, 1919",Various,UNKNOWN YEAR,en,A,AP
Een Heldin,"Kuiper, A. C.",1860,nl,P,PT
"Meesterstukken van Rembrandt Harmensz. Van Rijn
Leesboek voor het Lager en Voortgezet Onderwijs","Kielder, G.",UNKNOWN YEAR,nl,N,ND
De omwenteling van 1830,"Conscience, Hendrik",1812,nl,P,PT
Ons Vaderland van de vroegste tijden tot de 15de eeuw,"Lievevrouw-Coopman, M.",1857,nl,D,DH
What is Coming? A Forecast of Things after the War,"Wells, H. G. (Herbert George)",1866,en,D,D501
The Tragedy of Macbeth,"Shakespeare, William",1564,en,P,PR
Emilie the Peacemaker,"Geldart, Thomas, Mrs.",1819,en,P,PZ
Камено доба,"Zujovic, Jovan",1856,sr,G,GN
"Секунд вечности, источњачки роман","Ilić, Dragutin J.",1858,sr,P,PG
"Jan van Huysums Blomsterstykke
En Buket","Wergeland, Henrik Arnold",1808,no,P,PT
Juhana Herttuan ja Catharina Jagellonican lauluja,"Leino, Eino",1878,fi,P,PH
Lehtori Hellmanin vaimo,"Canth, Minna",1844,fi,P,PH
Työmiehen vaimo,"Canth, Minna",1844,fi,P,PH
Travels through the Empire of Morocco,"Buffa, John",UNKNOWN YEAR,en,D,DT
"Wanderings by Southern Waters, Eastern Aquitaine","Barker, Edward Harrison",1851,en,D,DC
O cancioneiro portuguez da Vaticana,"Braga, Teófilo",1843,pt,P,PQ
The Secret Garden,"Burnett, Frances Hodgson",1849,en,P,PZ
The Tragedy of Antony and Cleopatra,"Shakespeare, William",1564,en,P,PR
La belle Gabrielle — Tome 1,"Maquet, Auguste",1813,fr,P,PQ
Les gens de bureau,"Gaboriau, Emile",1832,fr,P,PQ
"Diario de la navegacion empredida en 1781
Desde el Rio Negro, para reconocer la Bahia de Todos los Santos, las Islas del Buen Suceso, y el desague del Rio Colorado","Villarino, Basilio",1741,es,F,F2801
Vain Fortune: A Novel,"Moore, George Augustus",1852,en,P,PR
The Lake,"Moore, George Augustus",1852,en,P,PR
"La Campagna del 1796 nel Veneto
Parte prima: La decadenza militare della serenissima uomini ed armi","Barbarich, Eugenio",1868,it,D,DG
Catalanisches Streitgedicht zwischen En Buc und seinem Pferd,UNKNOWN AUTHOR,UNKNOWN YEAR,ca,P,PC
"El la Biblio
Elektitaj ĉapitroj de la Psalmaro, Sentencoj de Salomono kaj Predikanto","Zamenhof, L. L. (Ludwik Lejzer)",1859,eo,B,BS
"The Book of Enterprise and Adventure
Being an Excitement to Reading. for Young People. a New and Condensed Edition.",Anonymous,UNKNOWN YEAR,en,P,PZ
"The Booming of Acre Hill, and Other Reminiscences of Urban and Suburban Life","Bangs, John Kendrick",1862,en,P,PS
The Tragedy of Coriolanus,"Shakespeare, William",1564,en,P,PR
Hindu Tales from the Sanskrit,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PK
The Masters of the Peaks: A Story of the Great North Woods,"Altsheler, Joseph A. (Joseph Alexander)",1862,en,P,PZ
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 339, November 8, 1828",Various,UNKNOWN YEAR,en,A,AP
A School History of the United States,"McMaster, John Bach",1852,en,E,E151
"A Compilation of the Messages and Papers of the Presidents
Volume 1, part 1: George Washington",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
Friendly Fairies,"Gruelle, Johnny",1880,en,P,PZ
"The Atlantic Monthly, Volume 08, No. 47, September, 1861
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"De Aarde en haar Volken, Jaargang 1877",Various,UNKNOWN YEAR,nl,G,G
De reis om de wereld in tachtig dagen,"Verne, Jules",1828,nl,P,PQ
The Fairy Godmothers and Other Tales,"Gatty, Alfred, Mrs.",1809,en,P,PZ
The Life of Timon of Athens,"Shakespeare, William",1564,en,P,PR
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 331, September 13, 1828",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 270, August 25, 1827",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 359, March 7, 1829",Various,UNKNOWN YEAR,en,A,AP
"Caleb Williams; Or, Things as They Are","Godwin, William",1756,en,P,PR
This Is the End,"Benson, Stella",1892,en,P,PR
The Happiest Time of Their Lives,"Miller, Alice Duer",1874,en,P,PS
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 288, Supplementary Number",Various,UNKNOWN YEAR,en,A,AP
English Literature: Modern,"Mair, G. H. (George Herbert)",1887,en,P,PR
