Title,Authors,Author Birth Years,Languages,LCC Subjects
Mother Carey's Chickens,"Wiggin, Kate Douglas Smith",1856,en,PS
"The Boats of the ""Glen Carrig""
Being an account of their Adventures in the Strange places of the Earth, after the foundering of the good ship Glen Carrig through striking upon a hidden rock in the unknown seas to the Southward; as told by John Winterstraw, Gent., to his son James Winterstraw, in the year 1757, and by him committed very properly and legibly to manuscript","Hodgson, William Hope",1877,en,PR
"The Sea Lions; Or, The Lost Sealers","Cooper, James Fenimore",1789,en,PS
So Runs the World,"Sienkiewicz, Henryk",1846,en,PG
The Westcotes,"Quiller-Couch, Arthur",1863,en,PR
A Romance of the Republic,"Child, Lydia Maria",1802,en,PS
Affair in Araby,"Mundy, Talbot",1879,en,PR
Roy Blakeley: His Story,"Fitzhugh, Percy Keese",1876,en,PZ
"Right Ho, Jeeves","Wodehouse, P. G. (Pelham Grenville)",1881,en,PR
"The Life of Marie Antoinette, Queen of France","Yonge, Charles Duke",1812,en,DC
The Old Man in the Corner,"Orczy, Emmuska Orczy, Baroness",1865,en,PR
Johnny Crow's Party,"Brooke, L. Leslie (Leonard Leslie)",1862,en,PZ
"The Last of the Foresters
Or, Humors on the Border; A story of the Old Virginia Frontier","Cooke, John Esten",1830,en,PS
"Fine Feathers
Ship's Company, Part 1.","Jacobs, W. W. (William Wymark)",1863,en,PR
"Friends in Need
Ship's Company, Part 2.","Jacobs, W. W. (William Wymark)",1863,en,PR
"Good Intentions
Ship's Company, Part 3.","Jacobs, W. W. (William Wymark)",1863,en,PR
"Fairy Gold
Ship's Company, Part 4.","Jacobs, W. W. (William Wymark)",1863,en,PR
"Watch-Dogs
Ship's Company, Part 5.","Jacobs, W. W. (William Wymark)",1863,en,PR
"The Bequest
Ship's Company, Part 6.","Jacobs, W. W. (William Wymark)",1863,en,PR
"The Guardian Angel
Ship's Company, Part 7.","Jacobs, W. W. (William Wymark)",1863,en,PR
"Dual Control
Ship's Company, Part 8.","Jacobs, W. W. (William Wymark)",1863,en,PR
"Skilled Assistance
Ship's Company, Part 9.","Jacobs, W. W. (William Wymark)",1863,en,PR
Martin Eden,"London, Jack",1876,en,PS
"For Better or Worse
Ship's Company, Part 10.","Jacobs, W. W. (William Wymark)",1863,en,PR
"The Old Man of the Sea
Ship's Company, Part 11.","Jacobs, W. W. (William Wymark)",1863,en,PR
"Manners Makyth Man
Ship's Company, Part 12.","Jacobs, W. W. (William Wymark)",1863,en,PR
"The History of England, Volume I
From the Invasion of Julius Caesar to the Revolution in 1688","Hume, David",1711,en,DA
The Profiteers,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,PR
A Hidden Life and Other Poems,"MacDonald, George",1824,en,PR
"The Positive School of Criminology
Three Lectures Given at the University of Naples, Italy on April 22, 23 and 24, 1901","Ferri, Enrico",1856,en,HV
Uncle Bernac: A Memory of the Empire,"Doyle, Arthur Conan",1859,en,PR
For Luncheon and Supper Guests,"Bradley, Alice",1875,en,TX
Holland: The History of the Netherlands,"Grattan, Thomas Colley",1792,en,DJ
My Strangest Case,"Boothby, Guy",1867,en,PR
Mike and Psmith,"Wodehouse, P. G. (Pelham Grenville)",1881,en,PZ
A Lie Never Justifiable: A Study in Ethics,"Trumbull, H. Clay (Henry Clay)",1830,en,BJ
Adventures in Friendship,"Grayson, David",1870,en,PS
Great Possessions,"Grayson, David",1870,en,PS
Four Early Pamphlets,"Godwin, William",1756,en,PR
The Lives of the Poets of Great Britain and Ireland (1753) Volume I.,"Cibber, Theophilus",1703,en,PR
Lost in the Air,"Snell, Roy J. (Roy Judson)",1878,en,PZ
Persuasion,"Austen, Jane",1775,en,PR
"A General History and Collection of Voyages and Travels — Volume 01
Arranged in Systematic Order: Forming a Complete History of the Origin and Progress of Navigation, Discovery, and Commerce, by Sea and Land, from the Earliest Ages to the Present Time","Kerr, Robert",1755,en,G
The Rangeland Avenger,"Brand, Max",1892,en,PS
"The Poetical Works of Edmund Spenser, Volume 5","Spenser, Edmund",1551,en,PR
With Kelly to Chitral,"Beynon, William George Laurence, Sir",1866,en,DS
Adventures in Contentment,"Grayson, David",1870,en,PS
"The Tragedie of Hamlet, Prince of Denmark
A Study with the Text of the Folio of 1623","Shakespeare, William",1564,en,PR
"The Turquoise Cup, and, the Desert","Smith, Arthur Cosslett",1852,en,PS
"English Literature
Its History and Its Significance for the Life of the English-Speaking World","Long, William J. (William Joseph)",1867,en,PR
"Letters and Journals of James, Eighth Earl of Elgin","Elgin, James Bruce, Earl of",1811,en,DA
